MarkerName	Allele1	Allele2	Weight	Zscore	P-value	Direction
ENSG00000113532.11	a	g	60327.00	0.429	0.6678	+-+
ENSG00000164117.11	a	g	60327.00	-0.693	0.4881	--+
ENSG00000162946.19	a	g	60327.00	-1.029	0.3036	--+
ENSG00000201026.1	a	g	60327.00	-0.339	0.7343	++-
ENSG00000087250.7	a	g	60327.00	-0.129	0.8973	++-
ENSG00000197961.10	a	g	60327.00	1.858	0.06311	+++
ENSG00000172554.10	a	g	60327.00	0.339	0.7345	+-+
ENSG00000208008.1	a	g	60327.00	0.717	0.4732	-++
ENSG00000207075.1	a	g	60327.00	-0.597	0.5508	-+-
ENSG00000111639.6	a	g	60327.00	-1.765	0.07763	---
ENSG00000171388.11	a	g	60327.00	0.266	0.7902	-++
ENSG00000122367.18	a	g	60327.00	0.546	0.5847	-++
ENSG00000110811.18	a	g	60327.00	1.507	0.1318	++-
ENSG00000255815.3	a	g	60327.00	0.343	0.7319	+-+
ENSG00000213231.11	a	g	60327.00	0.972	0.3311	++-
ENSG00000107984.8	a	g	60327.00	0.112	0.9111	-+-
ENSG00000170776.18	a	g	60327.00	1.011	0.3123	++-
ENSG00000165120.3	a	g	60327.00	-0.038	0.9697	++-
ENSG00000118473.20	a	g	60327.00	0.211	0.8325	-+-
ENSG00000138193.13	a	g	60327.00	-0.785	0.4322	---
ENSG00000189419.6	a	g	60327.00	-1.696	0.08985	---
ENSG00000177489.1	a	g	60327.00	-1.248	0.2121	---
ENSG00000103510.18	a	g	60327.00	-0.861	0.3891	+--
ENSG00000146376.9	a	g	60327.00	-1.639	0.1013	---
ENSG00000155970.10	a	g	20104.00	1.004	0.3154	+??
ENSG00000111832.11	a	g	60327.00	1.077	0.2815	++-
ENSG00000241246.3	a	g	60327.00	-0.466	0.6412	--+
ENSG00000177885.12	a	g	60327.00	0.603	0.5464	+++
ENSG00000224186.7	a	g	60327.00	-1.590	0.1118	---
ENSG00000051009.9	a	g	60327.00	-0.111	0.9114	+--
ENSG00000158731.2	a	g	60327.00	-0.187	0.8517	+-+
ENSG00000203392.3	a	g	60327.00	-0.178	0.8586	+--
ENSG00000206603.1	a	g	60327.00	1.233	0.2177	++-
ENSG00000213638.5	a	g	60327.00	-0.735	0.4624	-+-
ENSG00000140743.6	a	g	60327.00	-2.160	0.03074	---
ENSG00000131711.13	a	g	60327.00	-0.018	0.9854	++-
ENSG00000114978.16	a	g	60327.00	0.399	0.6897	+-+
ENSG00000234186.2	a	g	60327.00	0.276	0.7823	-++
ENSG00000273710.1	a	g	60327.00	-1.353	0.1761	---
ENSG00000198689.8	a	g	60327.00	2.138	0.0325	+++
ENSG00000115677.15	a	g	60327.00	-0.059	0.9532	-+-
ENSG00000150201.13	a	g	60327.00	-1.995	0.04602	--+
ENSG00000245680.8	a	g	60327.00	-1.274	0.2026	---
ENSG00000102466.14	a	g	20105.00	1.826	0.06786	??+
ENSG00000029559.6	a	g	60327.00	1.530	0.126	-++
ENSG00000138640.13	a	g	60327.00	-6.518	7.121e-11	---
ENSG00000183908.5	a	g	60327.00	-0.014	0.9886	++-
ENSG00000082196.19	a	g	60327.00	-0.060	0.9522	-+-
ENSG00000168828.5	a	g	60327.00	-1.002	0.3161	--+
ENSG00000198860.10	a	g	60327.00	-1.240	0.2151	-+-
ENSG00000148798.8	a	g	60327.00	-0.213	0.8313	--+
ENSG00000132541.9	a	g	60327.00	-1.635	0.102	--+
ENSG00000222706.1	a	g	60327.00	0.771	0.4408	+++
ENSG00000247077.5	a	g	60327.00	0.381	0.7033	+++
ENSG00000165688.10	a	g	60327.00	-0.061	0.9512	-+-
ENSG00000130635.14	a	g	60327.00	0.504	0.6142	-+-
ENSG00000135297.14	a	g	60327.00	-2.109	0.03491	---
ENSG00000267200.1	a	g	60327.00	2.185	0.02893	+++
ENSG00000122912.13	a	g	60327.00	-0.486	0.6271	-+-
ENSG00000264706.2	a	g	60327.00	-0.141	0.8876	--+
ENSG00000145012.11	a	g	60327.00	1.922	0.05461	+++
ENSG00000170871.10	a	g	60327.00	3.889	0.0001006	+++
ENSG00000204092.2	a	g	60327.00	-0.246	0.806	+-+
ENSG00000113504.18	a	g	60327.00	0.416	0.6772	+-+
ENSG00000177542.9	a	g	60327.00	-0.283	0.7768	+-+
ENSG00000210082.2	a	g	60327.00	-0.573	0.5667	+--
ENSG00000182667.13	a	g	60327.00	0.826	0.4091	--+
ENSG00000177098.7	a	g	60327.00	1.479	0.1392	-++
ENSG00000165757.8	a	g	60327.00	-0.494	0.6215	--+
ENSG00000150867.12	a	g	60327.00	-1.032	0.3021	---
ENSG00000131828.12	a	g	60327.00	-1.408	0.1591	+--
ENSG00000141431.8	a	g	60327.00	-0.894	0.3713	-+-
ENSG00000183421.10	a	g	60327.00	0.105	0.9162	+-+
ENSG00000135048.12	a	g	60327.00	-4.816	1.467e-06	---
ENSG00000173276.12	a	g	60327.00	1.264	0.2063	-++
ENSG00000011243.16	a	g	60327.00	0.145	0.8849	+-+
ENSG00000278172.1	a	g	60327.00	-0.368	0.7131	---
ENSG00000212165.2	a	g	60327.00	2.040	0.04139	+++
ENSG00000136449.12	a	g	60327.00	-0.939	0.3478	-+-
ENSG00000104228.11	a	g	60327.00	0.154	0.8779	-+-
ENSG00000168447.9	a	g	60327.00	0.289	0.7729	+++
ENSG00000188582.7	a	g	60327.00	-0.350	0.7266	-++
ENSG00000106404.12	a	g	60327.00	-0.215	0.8299	+--
ENSG00000100290.2	a	g	60327.00	-1.096	0.2731	---
ENSG00000142149.7	a	g	60327.00	0.610	0.5417	+-+
ENSG00000109881.15	a	g	60327.00	-1.206	0.2278	---
ENSG00000150093.17	a	g	60327.00	0.112	0.9105	-++
ENSG00000184481.15	a	g	60327.00	-2.038	0.04152	---
ENSG00000134569.8	a	g	60327.00	-0.053	0.958	-+-
ENSG00000108010.10	a	g	60327.00	0.375	0.7079	-++
ENSG00000162896.5	a	g	60327.00	-0.066	0.9472	+-+
ENSG00000165917.8	a	g	60327.00	0.624	0.5329	+--
ENSG00000083812.10	a	g	60327.00	-1.302	0.1931	--+
ENSG00000176092.12	a	g	60327.00	2.067	0.03872	+++
ENSG00000134440.10	a	g	60327.00	0.974	0.3301	-++
ENSG00000138685.11	a	g	60327.00	0.038	0.9693	+--
