probe_id	probeset_id
902851	7901917
688769	7901917
1000726	7901926
896731	7901934
568598	7901934
733049	7901935
275088	7901935
196800	7901941
499274	7901950
24222	7901950
173670	7901950
1015972	7901950
920723	7901950
1008179	7901950
429981	7901956
398226	7901956
488470	7901958
236657	7901962
735866	7901964
673078	7901966
582433	7901968
927883	7901968
38060	7901968
938050	7901968
1058082	7901968
1006424	7901968
607838	7901968
376742	7901968
472704	7901968
104182	7901968
1072544	7901973
912068	7901978
969030	7901980
510256	7901988
1069217	7902042
203113	7902042
773151	7902059
437354	7902062
634368	7902084
230914	7902099
349173	7902162
392418	7902162
1047783	7902162
285410	7902164
749434	7902188
1005682	7902198
126507	7902198
940363	7902219
955861	7902239
540657	7902268
436307	7902268
59666	7902268
512225	7902303
1080300	7902303
190983	7902311
248550	7902348
494136	7902350
163906	7902350
41557	7902350
190446	7902363
546638	7902366
282146	7902366
867204	7902366
745225	7902366
583341	7902366
766085	7902369
273037	7902373
1017700	7902390
797716	7902401
348690	7902401
185629	7902401
719491	7902401
913617	7902401
399983	7902401
133458	7902401
2426	7902401
393002	7902401
30314	7902401
938468	7902401
238985	7902401
658807	7902401
736175	7902401
710843	7902434
218178	7902438
108242	7902450
671407	7902450
977864	7902450
426749	7902469
640235	7902471
212398	7902475
941016	7902475
281806	7902502
645429	7902502
767638	7902526
462804	7902547
702523	7902549
33411	7902569
1075267	7902630
612428	7902631
953885	7902631
637671	7902640
821604	7902646
52887	7902646
12175	7902655
633902	7902662
549526	7902680
527169	7902682
991028	7902686
930539	7902686
282180	7902686
1069643	7902686
583725	7902709
434555	7902713
472452	7902725
261183	7902739
538359	7902744
933390	7902750
846667	7902752
731580	7902755
228758	7902766
1004612	7902768
84051	7902783
128702	7902788
28652	7899055
660300	7899055
331654	7899058
1076198	7899058
881314	7899059
1054829	7899076
109178	7899076
467774	7899076
1096778	7899080
253504	7899080
17704	7899086
435684	7899098
97144	7899107
546228	7899107
812061	7899125
955194	7899126
989544	7899126
437544	7899129
882978	7899129
922385	7899133
931690	7899143
763540	7899154
718142	7899165
5850	7899165
633699	7899184
193781	7899184
741161	7899190
152145	7899190
824850	7899207
42018	7899217
66079	7899282
978184	7899288
282561	7899288
1093016	7899288
1042620	7899288
775841	7899288
163648	7899288
543584	7899288
642394	7899288
203150	7899288
815723	7899288
225400	7899288
327278	7899288
316441	7899288
574222	7899349
740664	7899349
259008	7899349
460617	7899349
71907	7899349
1087678	7899349
30754	7899349
378825	7899349
933937	7899349
75068	7899349
1070444	7899349
501546	7899349
1088076	7899349
1061391	7899349
76892	7899408
889683	7899421
639399	7899431
804333	7899431
208139	7899431
331924	7899532
652549	7899533
794675	7899558
765955	7899620
158921	7899620
360320	7899624
65391	7899646
406683	7899652
159756	7899702
273884	7899702
677662	7899751
829032	7899773
348502	7899773
953488	7899812
9125	7899822
1082616	7899822
549557	7899850
352698	7899850
559071	7899889
266618	7899900
743924	7899910
118954	7899912
176127	7899915
862965	7899920
439972	7899924
131399	7899930
959388	7899931
320368	7899937
923918	7899937
1076000	7899941
627686	7899941
413647	7899941
122973	7899941
667148	7899942
16822	7899942
1014706	7900002
817747	7900003
1049681	7900003
394165	7900003
1087253	7900078
267744	7900086
795298	7900091
967388	7900106
525913	7900108
1068414	7900123
906088	7900123
105807	7900131
224290	7900133
163874	7900142
738636	7900142
989278	7900145
1070647	7900145
97948	7900145
533700	7900145
653296	7900145
592614	7900145
1017025	7900145
1082742	7900145
254772	7900145
160526	7900145
96898	7900145
1021889	7900145
1029317	7900145
61849	7900145
1018075	7900145
463231	7900145
412180	7900158
1003045	7900158
742451	7900165
733892	7900169
525085	7900170
956223	7900170
967037	7900218
746198	7900226
267255	7900263
454805	7900271
947043	7900275
189465	7900286
547067	7900341
192819	7900341
281641	7900388
1033004	7900403
1001730	7900406
713098	7900406
981539	7900406
37899	7900406
1058269	7900406
927443	7900406
377353	7900406
542324	7900406
262480	7900406
910625	7900406
69996	7900406
469997	7900406
572124	7900406
404354	7900406
609290	7900406
47106	7900406
239181	7900406
1074191	7900406
695644	7900419
799335	7900424
920980	7900444
786602	7900449
480124	7900465
952065	7900467
384379	7900473
934936	7900498
698730	7900502
64450	7900507
1066283	7900533
233789	7900533
14612	7900533
4732	7900553
759264	7900566
729516	7900581
961025	7900581
792288	7900581
1022447	7900589
84053	7900591
425960	7900592
581253	7900593
973848	7900594
311708	7900594
1064	7900594
76811	7900594
1013226	7900594
355055	7900594
281873	7900614
731139	7900614
753955	7900637
736814	7900641
41253	7900641
1052281	7900643
538182	7900643
133917	7900647
284138	7900653
169290	7900653
102214	7900653
1093592	7900653
642933	7900653
260843	7900653
752375	7900653
898624	7900653
891790	7900653
651125	7900653
810195	7900653
156593	7900653
313890	7900653
946918	7900653
243321	7900653
115009	7900653
649669	7900653
52841	7900653
177620	7900653
1027658	7900653
97042	7900657
898830	7900657
113365	7900677
319203	7900703
96907	7900703
890310	7900799
1068856	7900815
805852	7900816
927808	7900821
999317	7900823
369203	7900863
612939	7900877
9961	7900877
542615	7900879
523384	7900921
785010	7900923
103648	7900930
972202	7900930
1060597	7900930
498604	7900959
228433	7900959
434485	7901007
358415	7901018
835405	7901044
779634	7901045
424853	7901045
333198	7901045
108713	7901064
147329	7901064
415001	7901080
801345	7901089
316748	7901089
30069	7901106
166695	7901111
81163	7901173
79284	7901218
342015	7901220
584220	7901225
546184	7901225
406333	7901225
991045	7901226
89192	7901226
936043	7901237
2902	7901248
39096	7901250
580592	7901255
390341	7901257
79410	7901257
585673	7901262
116480	7901265
1054231	7905103
81633	7905110
1055090	7905121
948093	7905168
959612	7905175
860041	7905193
353981	7905194
303069	7905199
498940	7905221
1023384	7905228
937936	7905257
137027	7905323
737486	7905346
855500	7905346
509158	7905381
546195	7905396
961154	7905396
667591	7905396
523101	7905397
670528	7905402
863040	7905442
150934	7905442
691389	7905442
505252	7905443
575456	7905468
486913	7905468
500541	7905472
774105	7905475
547753	7905487
677028	7905487
148454	7905487
215674	7905488
1034779	7905488
581820	7905489
217112	7905502
938387	7905506
769266	7905506
413599	7905506
1092343	7905506
394111	7905506
280055	7905508
366329	7905509
535443	7905511
254102	7905511
536238	7905513
3931	7905513
267070	7905513
422531	7905514
836873	7905514
423704	7905516
807054	7905516
783889	7905516
751478	7905518
254672	7905518
728679	7905518
787338	7905518
156092	7905518
1087502	7905518
564262	7905518
301038	7905518
59100	7905518
750428	7905518
927562	7905518
437826	7905520
288304	7905520
984847	7905520
43538	7905520
1059733	7905520
715393	7905520
521510	7905520
611669	7905520
140439	7905520
87428	7905521
314487	7905524
1093436	7905524
530580	7905524
575187	7905524
858735	7905524
149026	7905529
314488	7905529
751766	7905529
598888	7905529
491745	7905529
993531	7905529
678530	7905529
556327	7905529
1015497	7905529
876759	7905531
363834	7905532
768113	7905532
336526	7905532
440619	7905535
969874	7905535
349030	7905535
168473	7905535
6212	7905535
574712	7905540
617760	7905540
40196	7905541
801792	7905541
721768	7905542
609528	7905542
133921	7905549
96961	7905549
840347	7905549
420109	7905549
813882	7905550
354979	7905550
794438	7905550
351680	7905550
379721	7905550
612286	7905552
345335	7905556
1089445	7905556
211624	7905558
338447	7905558
734973	7905599
381789	7905600
634148	7905605
