probe_id	probeset_id	x	y
482157	8133058	206	459
782699	8133058	448	745
549576	8133063	425	523
662983	8133063	432	631
591510	8133063	359	563
611957	8133063	856	582
244492	8133063	891	232
955785	8133071	284	910
278714	8133071	463	265
400486	8133071	435	381
245400	8133071	749	233
337660	8133071	609	321
361216	8133071	15	344
900753	8133071	902	857
1016504	8133071	103	968
95976	8133073	425	91
95976	8133109	425	91
288471	8133073	770	274
288471	8133109	770	274
930949	8133075	648	886
930949	8133096	648	886
184502	8133075	751	175
618388	8133075	987	588
618388	8133096	987	588
767566	8133075	15	731
767566	8133096	15	731
11409	8133075	908	10
11409	8133096	908	10
68516	8133075	265	65
68516	8133096	265	65
852978	8133075	377	812
852978	8133096	377	812
644564	8133075	913	613
644564	8133096	913	613
1062440	8133075	889	1011
1062440	8133096	889	1011
435126	8133075	425	414
435126	8133096	425	414
155525	8133075	124	148
155525	8133096	124	148
646308	8133075	557	615
646308	8133096	557	615
946014	8133075	1013	900
946014	8133096	1013	900
655218	8133075	17	624
655218	8133096	17	624
693897	8133075	896	660
693897	8133096	896	660
113350	8133075	999	107
113350	8133096	999	107
906854	8133075	703	863
906854	8133096	703	863
1079550	8133075	149	1028
1079550	8133096	149	1028
338955	8133075	854	322
338955	8133096	854	322
986562	8133075	611	939
986562	8133096	611	939
893845	8133075	294	851
893845	8133096	294	851
13925	8133075	274	13
13925	8133096	274	13
490778	8133075	427	467
490778	8133096	427	467
77120	8133075	469	73
77120	8133096	469	73
939897	8133075	146	895
939897	8133096	146	895
1010568	8133075	467	962
1010568	8133096	467	962
771314	8133075	613	734
771314	8133096	613	734
639322	8133075	921	608
639322	8133096	921	608
763715	8133075	364	727
763715	8133096	364	727
495218	8133075	667	471
495218	8133096	667	471
1060212	8133075	761	1009
1060212	8133096	761	1009
607719	8133075	818	578
607719	8133096	818	578
958910	8133075	259	913
958910	8133096	259	913
347160	8133090	659	330
439811	8133090	910	418
671840	8133090	889	639
776500	8133090	549	739
864948	8133090	797	823
223145	8133096	544	212
196292	8133096	991	186
1100643	8133096	242	1048
306670	8133096	69	292
751241	8133096	490	715
179565	8133096	14	171
178515	8133096	14	170
1014404	8133107	103	966
956715	8133107	164	911
370958	8133107	307	353
418670	8133107	769	398
684934	8133107	333	652
486868	8133107	717	463
389994	8133107	443	371
1050182	8133107	181	1000
154535	8133111	184	147
265039	8133111	438	252
878413	8133111	612	836
737863	8133111	762	702
12825	8133111	224	12
53477	8133111	976	50
855301	8133111	600	814
24067	8133111	966	22
167716	8133111	765	159
623075	8133115	424	593
334732	8133115	831	318
73886	8133115	385	70
953008	8133123	657	907
104697	8133123	746	99
223527	8133123	926	212
109391	8133123	190	104
155106	8133123	755	147
627677	8133123	826	597
665973	8133123	272	634
838674	8133146	773	798
434731	8133146	30	414
660363	8133146	962	628
405886	8133146	585	386
368576	8133146	25	351
476971	8133146	270	454
995675	8133146	274	948
29884	8133146	483	28
126966	8133146	965	120
197545	8133146	144	188
75030	8133146	479	71
380003	8133146	952	361
1063985	8133146	334	1013
905034	8133146	983	861
406046	8133146	745	386
205417	8133146	666	195
94461	8133146	1010	89
336441	8133177	440	320
262100	8133177	649	249
915115	8133177	564	871
5226	8133177	1025	4
280006	8133177	705	266
454179	8133177	578	432
1037853	8133177	452	988
422216	8133177	115	402
317859	8133177	758	302
933271	8133177	870	888
691744	8133177	843	658
941870	8133177	19	897
1086280	8133177	579	1034
141946	8133177	195	135
853248	8133177	647	812
891940	8133177	489	849
1800	8133177	749	1
956464	8133188	963	910
30678	8133188	227	29
838230	8133188	329	798
1021363	8133188	762	972
742590	8133188	239	707
201195	8133188	644	191
811359	8133188	758	772
828888	8133188	437	789
771088	8133201	387	734
932581	8133201	180	888
715582	8133201	531	681
149942	8133201	841	142
899409	8133203	608	856
715153	8133203	102	681
287374	8133210	723	273
938124	8133210	473	893
938124	8133572	473	893
938124	8133583	473	893
938124	8133591	473	893
938124	8133601	473	893
938124	8133655	473	893
938124	8135198	473	893
938124	8135205	473	893
938124	8139997	473	893
938124	8140010	473	893
938124	8140212	473	893
938124	8140425	473	893
938124	8140446	473	893
938124	8140455	473	893
938124	8141751	473	893
794519	8133210	718	756
495067	8133210	516	471
495067	8133572	516	471
495067	8133583	516	471
495067	8133591	516	471
495067	8133601	516	471
495067	8139997	516	471
495067	8140010	516	471
495067	8140212	516	471
495067	8140425	516	471
495067	8140446	516	471
495067	8140455	516	471
633800	8133210	649	603
761714	8133210	463	725
761714	8133572	463	725
761714	8133583	463	725
761714	8133591	463	725
761714	8133601	463	725
761714	8133655	463	725
761714	8135198	463	725
761714	8135205	463	725
761714	8139997	463	725
761714	8140010	463	725
761714	8140212	463	725
761714	8140425	463	725
761714	8140446	463	725
761714	8140455	463	725
761714	8141751	463	725
183439	8133210	738	174
183439	8133655	738	174
183439	8135198	738	174
183439	8141751	738	174
724442	8133210	991	689
724442	8133655	991	689
724442	8140425	991	689
724442	8140455	991	689
42247	8133210	246	40
42247	8140425	246	40
42247	8140455	246	40
789443	8133210	892	751
789443	8140425	892	751
789443	8140455	892	751
507198	8133210	47	483
489402	8133210	101	466
2470	8133210	369	2
86336	8133210	235	82
86336	8140425	235	82
86336	8140455	235	82
935328	8133210	827	890
